NAMESPACE            LAST SEEN   TYPE      REASON                    OBJECT                                                                MESSAGE
default              8m7s        Normal    NodeHasSufficientMemory   node/kmi-test-control-plane                                           Node kmi-test-control-plane status is now: NodeHasSufficientMemory
default              8m7s        Normal    NodeHasSufficientPID      node/kmi-test-control-plane                                           Node kmi-test-control-plane status is now: NodeHasSufficientPID
default              8m7s        Normal    NodeHasNoDiskPressure     node/kmi-test-control-plane                                           Node kmi-test-control-plane status is now: NodeHasNoDiskPressure
default              8m          Normal    Starting                  node/kmi-test-control-plane                                           Starting kubelet.
default              8m          Normal    NodeHasSufficientMemory   node/kmi-test-control-plane                                           Node kmi-test-control-plane status is now: NodeHasSufficientMemory
default              8m          Normal    NodeHasNoDiskPressure     node/kmi-test-control-plane                                           Node kmi-test-control-plane status is now: NodeHasNoDiskPressure
default              8m          Normal    NodeHasSufficientPID      node/kmi-test-control-plane                                           Node kmi-test-control-plane status is now: NodeHasSufficientPID
default              8m          Normal    NodeAllocatableEnforced   node/kmi-test-control-plane                                           Updated Node Allocatable limit across pods
kube-system          8m          Normal    LeaderElection            lease/kube-controller-manager                                         kmi-test-control-plane_c9cb3801-31cd-4dc6-a9b9-dca50ad03409 became leader
kube-system          7m58s       Normal    LeaderElection            lease/kube-scheduler                                                  kmi-test-control-plane_d0042cb9-df72-4922-acb8-d55f72b6dd06 became leader
default              7m47s       Normal    RegisteredNode            node/kmi-test-control-plane                                           Node kmi-test-control-plane event: Registered Node kmi-test-control-plane in Controller
kube-system          7m46s       Normal    SuccessfulCreate          replicaset/coredns-78fcd69978                                         Created pod: coredns-78fcd69978-6qtbl
default              7m45s       Normal    NodeHasNoDiskPressure     node/kmi-test-worker                                                  Node kmi-test-worker status is now: NodeHasNoDiskPressure
default              7m45s       Normal    NodeHasSufficientPID      node/kmi-test-worker                                                  Node kmi-test-worker status is now: NodeHasSufficientPID
default              7m46s       Normal    NodeAllocatableEnforced   node/kmi-test-worker                                                  Updated Node Allocatable limit across pods
kube-system          7m46s       Normal    SuccessfulCreate          replicaset/coredns-78fcd69978                                         Created pod: coredns-78fcd69978-622wz
default              7m45s       Normal    NodeHasSufficientMemory   node/kmi-test-worker                                                  Node kmi-test-worker status is now: NodeHasSufficientMemory
local-path-storage   7m46s       Normal    ScalingReplicaSet         deployment/local-path-provisioner                                     Scaled up replica set local-path-provisioner-85494db59d to 1
local-path-storage   7m46s       Normal    SuccessfulCreate          replicaset/local-path-provisioner-85494db59d                          Created pod: local-path-provisioner-85494db59d-pnntn
kube-system          7m46s       Normal    Created                   pod/kindnet-tjbkj                                                     Created container kindnet-cni
kube-system          7m46s       Normal    Pulled                    pod/kindnet-tjbkj                                                     Container image "docker.io/kindest/kindnetd:v20211103-24515ddb" already present on machine
kube-system          7m46s       Normal    Created                   pod/kube-proxy-dnzj7                                                  Created container kube-proxy
kube-system          7m46s       Warning   FailedScheduling          pod/coredns-78fcd69978-622wz                                          0/1 nodes are available: 1 node(s) had taint {node.kubernetes.io/not-ready: }, that the pod didn't tolerate.
local-path-storage   7m46s       Warning   FailedScheduling          pod/local-path-provisioner-85494db59d-pnntn                           0/1 nodes are available: 1 node(s) had taint {node.kubernetes.io/not-ready: }, that the pod didn't tolerate.
kube-system          7m46s       Normal    ScalingReplicaSet         deployment/coredns                                                    Scaled up replica set coredns-78fcd69978 to 2
default              7m46s       Normal    Starting                  node/kmi-test-worker                                                  Starting kubelet.
kube-system          7m46s       Warning   FailedScheduling          pod/coredns-78fcd69978-6qtbl                                          0/1 nodes are available: 1 node(s) had taint {node.kubernetes.io/not-ready: }, that the pod didn't tolerate.
kube-system          7m46s       Normal    SuccessfulCreate          daemonset/kube-proxy                                                  Created pod: kube-proxy-dnzj7
kube-system          7m46s       Normal    Scheduled                 pod/kube-proxy-dnzj7                                                  Successfully assigned kube-system/kube-proxy-dnzj7 to kmi-test-control-plane
kube-system          7m46s       Normal    SuccessfulCreate          daemonset/kindnet                                                     Created pod: kindnet-tjbkj
kube-system          7m46s       Normal    Pulled                    pod/kube-proxy-dnzj7                                                  Container image "k8s.gcr.io/kube-proxy:v1.22.2" already present on machine
kube-system          7m46s       Normal    Scheduled                 pod/kindnet-tjbkj                                                     Successfully assigned kube-system/kindnet-tjbkj to kmi-test-control-plane
kube-system          7m46s       Normal    Started                   pod/kube-proxy-dnzj7                                                  Started container kube-proxy
kube-system          7m45s       Normal    Scheduled                 pod/kube-proxy-vrtt7                                                  Successfully assigned kube-system/kube-proxy-vrtt7 to kmi-test-worker
kube-system          7m45s       Normal    Started                   pod/kindnet-tjbkj                                                     Started container kindnet-cni
kube-system          7m45s       Normal    SuccessfulCreate          daemonset/kindnet                                                     Created pod: kindnet-94tlj
kube-system          7m45s       Normal    SuccessfulCreate          daemonset/kube-proxy                                                  Created pod: kube-proxy-vrtt7
kube-system          7m45s       Normal    Scheduled                 pod/kindnet-94tlj                                                     Successfully assigned kube-system/kindnet-94tlj to kmi-test-worker
kube-system          7m43s       Normal    Pulled                    pod/kindnet-94tlj                                                     Container image "docker.io/kindest/kindnetd:v20211103-24515ddb" already present on machine
kube-system          7m43s       Normal    Started                   pod/kindnet-94tlj                                                     Started container kindnet-cni
kube-system          7m43s       Normal    Pulled                    pod/kube-proxy-vrtt7                                                  Container image "k8s.gcr.io/kube-proxy:v1.22.2" already present on machine
kube-system          7m43s       Normal    Started                   pod/kube-proxy-vrtt7                                                  Started container kube-proxy
kube-system          7m43s       Normal    Created                   pod/kube-proxy-vrtt7                                                  Created container kube-proxy
kube-system          7m43s       Normal    Created                   pod/kindnet-94tlj                                                     Created container kindnet-cni
default              7m42s       Normal    RegisteredNode            node/kmi-test-worker                                                  Node kmi-test-worker event: Registered Node kmi-test-worker in Controller
kube-system          7m40s       Normal    Scheduled                 pod/coredns-78fcd69978-622wz                                          Successfully assigned kube-system/coredns-78fcd69978-622wz to kmi-test-control-plane
default              7m40s       Normal    NodeReady                 node/kmi-test-control-plane                                           Node kmi-test-control-plane status is now: NodeReady
kube-system          7m40s       Normal    Scheduled                 pod/coredns-78fcd69978-6qtbl                                          Successfully assigned kube-system/coredns-78fcd69978-6qtbl to kmi-test-control-plane
local-path-storage   7m40s       Normal    Scheduled                 pod/local-path-provisioner-85494db59d-pnntn                           Successfully assigned local-path-storage/local-path-provisioner-85494db59d-pnntn to kmi-test-control-plane
kube-system          7m39s       Normal    Pulled                    pod/coredns-78fcd69978-622wz                                          Container image "k8s.gcr.io/coredns/coredns:v1.8.4" already present on machine
kube-system          7m39s       Normal    Created                   pod/coredns-78fcd69978-622wz                                          Created container coredns
kube-system          7m39s       Normal    Started                   pod/coredns-78fcd69978-622wz                                          Started container coredns
local-path-storage   7m39s       Normal    LeaderElection            endpoints/rancher.io-local-path                                       local-path-provisioner-85494db59d-pnntn_6b93bd61-6c82-4f50-b1b2-f6d1ec22391a became leader
local-path-storage   7m39s       Normal    Pulled                    pod/local-path-provisioner-85494db59d-pnntn                           Container image "docker.io/rancher/local-path-provisioner:v0.0.14" already present on machine
local-path-storage   7m39s       Normal    Created                   pod/local-path-provisioner-85494db59d-pnntn                           Created container local-path-provisioner
local-path-storage   7m39s       Normal    Started                   pod/local-path-provisioner-85494db59d-pnntn                           Started container local-path-provisioner
kube-system          7m39s       Normal    Started                   pod/coredns-78fcd69978-6qtbl                                          Started container coredns
kube-system          7m39s       Normal    Created                   pod/coredns-78fcd69978-6qtbl                                          Created container coredns
kube-system          7m39s       Normal    Pulled                    pod/coredns-78fcd69978-6qtbl                                          Container image "k8s.gcr.io/coredns/coredns:v1.8.4" already present on machine
default              7m35s       Normal    NodeReady                 node/kmi-test-worker                                                  Node kmi-test-worker status is now: NodeReady
kubevirt             7m27s       Normal    Scheduled                 pod/virt-operator-6fbd74566c-5vzkv                                    Successfully assigned kubevirt/virt-operator-6fbd74566c-5vzkv to kmi-test-worker
kubevirt             7m27s       Normal    Pulled                    pod/virt-operator-6fbd74566c-ck4xt                                    Container image "quay.io/kubevirt/virt-operator:v0.47.1" already present on machine
kubevirt             7m27s       Normal    ScalingReplicaSet         deployment/virt-operator                                              Scaled up replica set virt-operator-6fbd74566c to 2
kubevirt             7m27s       Normal    SuccessfulCreate          replicaset/virt-operator-6fbd74566c                                   Created pod: virt-operator-6fbd74566c-5vzkv
kubevirt             7m27s       Normal    SuccessfulCreate          replicaset/virt-operator-6fbd74566c                                   Created pod: virt-operator-6fbd74566c-ck4xt
kubevirt             7m27s       Normal    Created                   pod/virt-operator-6fbd74566c-5vzkv                                    Created container virt-operator
kubevirt             7m27s       Normal    Created                   pod/virt-operator-6fbd74566c-ck4xt                                    Created container virt-operator
kubevirt             7m27s       Normal    Pulled                    pod/virt-operator-6fbd74566c-5vzkv                                    Container image "quay.io/kubevirt/virt-operator:v0.47.1" already present on machine
